date,ticker,open,high,low,close,volume
2021-01-04,RELIANCE,2450.0,2566.38,2445.69,2562.36,4885396
2021-01-05,RELIANCE,2562.36,2608.51,2546.73,2601.69,10410593
2021-01-06,RELIANCE,2601.69,2611.41,2540.68,2550.86,7226844
2021-01-07,RELIANCE,2550.86,2577.94,2546.77,2569.83,8851152
2021-01-08,RELIANCE,2569.83,2648.32,2533.84,2622.17,12885282
2021-01-11,RELIANCE,2622.17,2624.77,2585.07,2586.88,8907047
2021-01-12,RELIANCE,2586.88,2634.61,2567.37,2609.34,6175021
2021-01-13,RELIANCE,2609.34,2629.13,2541.8,2562.14,12933242
2021-01-14,RELIANCE,2562.14,2614.62,2547.56,2601.8,13974859
2021-01-15,RELIANCE,2601.8,2699.29,2577.0,2676.96,3928078
2021-01-18,RELIANCE,2676.96,2851.62,2664.23,2834.44,6675108
2021-01-19,RELIANCE,2834.44,2907.69,2819.38,2889.65,9367332
2021-01-20,RELIANCE,2889.65,2917.83,2815.3,2852.06,11627729
2021-01-21,RELIANCE,2852.06,2906.13,2844.88,2899.99,4999606
2021-01-22,RELIANCE,2899.99,3032.98,2880.36,3007.26,8079720
2021-01-25,RELIANCE,3007.26,3066.88,2985.02,3032.6,7632088
2021-01-26,RELIANCE,3032.6,3075.1,2993.66,3041.28,9375052
2021-01-27,RELIANCE,3041.28,3080.83,3013.16,3063.57,9830230
2021-01-28,RELIANCE,3063.57,3115.26,3061.12,3113.39,8345595
2021-01-29,RELIANCE,3113.39,3235.77,3070.54,3193.48,17479632
2021-02-01,RELIANCE,3193.48,3196.27,3167.83,3171.1,8064903
2021-02-02,RELIANCE,3171.1,3174.24,3154.45,3157.92,5258305
2021-02-03,RELIANCE,3157.92,3187.65,3098.15,3141.16,6013332
2021-02-04,RELIANCE,3141.16,3268.37,3121.62,3235.49,5247664
2021-02-05,RELIANCE,3235.49,3294.33,3231.9,3287.49,8284950
2021-02-08,RELIANCE,3287.49,3295.31,3239.9,3251.38,8270602
2021-02-09,RELIANCE,3251.38,3262.58,3137.69,3157.27,5671439
2021-02-10,RELIANCE,3157.27,3344.91,3121.39,3316.79,12044095
2021-02-11,RELIANCE,3316.79,3329.88,3286.51,3293.9,15169082
2021-02-12,RELIANCE,3293.9,3347.34,3264.9,3329.24,5839402
2021-02-15,RELIANCE,3329.24,3329.75,3216.53,3217.22,6855739
2021-02-16,RELIANCE,3217.22,3239.93,3068.99,3102.55,17123727
2021-02-17,RELIANCE,3102.55,3145.25,3038.76,3062.54,11045438
2021-02-18,RELIANCE,3062.54,3088.22,2973.24,2990.86,7412362
2021-02-19,RELIANCE,2990.86,3007.06,2961.45,2994.78,11230740
2021-02-22,RELIANCE,2994.78,3062.99,2987.67,3056.83,11487818
2021-02-23,RELIANCE,3056.83,3136.18,3032.96,3089.7,12462287
2021-02-24,RELIANCE,3089.7,3115.95,2941.73,2969.92,5360022
2021-02-25,RELIANCE,2969.92,3023.11,2962.84,3015.11,5088808
2021-02-26,RELIANCE,3015.11,3049.51,3007.1,3034.48,4103678
2021-03-01,RELIANCE,3034.48,3052.23,2951.56,2961.02,7507494
2021-03-02,RELIANCE,2961.02,2997.64,2956.59,2992.91,5375427
2021-03-03,RELIANCE,2992.91,3008.22,2969.91,2983.78,6404395
2021-03-04,RELIANCE,2983.78,2987.51,2979.23,2982.69,7435061
2021-03-05,RELIANCE,2982.69,2996.52,2940.69,2956.86,3948022
2021-03-08,RELIANCE,2956.86,2958.06,2924.72,2926.21,6436887
2021-03-09,RELIANCE,2926.21,2937.51,2925.97,2937.22,7406793
2021-03-10,RELIANCE,2937.22,2973.66,2925.47,2955.39,6602141
2021-03-11,RELIANCE,2955.39,2966.21,2907.86,2918.84,9171667
2021-03-12,RELIANCE,2918.84,2934.5,2910.26,2928.28,4296213
2021-03-15,RELIANCE,2928.28,2930.15,2918.96,2921.26,3851287
2021-03-16,RELIANCE,2921.26,2939.63,2917.0,2935.16,5117990
2021-03-17,RELIANCE,2935.16,2951.64,2930.2,2940.28,9243671
2021-03-18,RELIANCE,2940.28,2998.1,2927.3,2981.46,9213366
2021-03-19,RELIANCE,2981.46,3012.84,2979.27,3010.57,3843535
2021-03-22,RELIANCE,3010.57,3047.69,3007.78,3046.59,4244127
2021-03-23,RELIANCE,3046.59,3055.35,3022.42,3041.69,5681932
2021-03-24,RELIANCE,3041.69,3053.35,3019.41,3031.23,2974785
2021-03-25,RELIANCE,3031.23,3073.05,3030.68,3072.6,4240529
2021-03-26,RELIANCE,3072.6,3077.61,3070.31,3075.67,4953065
2021-03-29,RELIANCE,3075.67,3093.24,3021.37,3029.92,3028662
2021-03-30,RELIANCE,3029.92,3038.24,3010.55,3018.0,6249890
2021-03-31,RELIANCE,3018.0,3034.25,3011.09,3028.92,9437719
2021-04-01,RELIANCE,3028.92,3049.3,3027.39,3046.57,2716698
2021-04-02,RELIANCE,3046.57,3065.23,3030.61,3039.55,6345872
2021-04-05,RELIANCE,3039.55,3085.2,3017.26,3064.42,5766964
2021-04-06,RELIANCE,3064.42,3113.05,3062.88,3111.83,9325810
2021-04-07,RELIANCE,3111.83,3128.09,3109.7,3123.07,4817081
2021-04-08,RELIANCE,3123.07,3150.86,3122.77,3150.6,5007003
2021-04-09,RELIANCE,3150.6,3169.14,3128.05,3138.72,5742744
2021-04-12,RELIANCE,3138.72,3190.73,3136.7,3189.33,4629729
2021-04-13,RELIANCE,3189.33,3243.1,3182.27,3228.3,3924191
2021-04-14,RELIANCE,3228.3,3234.98,3183.91,3195.41,5605362
2021-04-15,RELIANCE,3195.41,3204.4,3168.62,3177.62,3774858
2021-04-16,RELIANCE,3177.62,3178.79,3127.79,3130.5,3546600
2021-04-19,RELIANCE,3130.5,3148.59,3079.36,3100.15,7237823
2021-04-20,RELIANCE,3100.15,3103.28,3077.9,3080.54,6889366
2021-04-21,RELIANCE,3080.54,3084.74,3023.43,3029.62,6810866
2021-04-22,RELIANCE,3029.62,3058.42,2989.69,3005.1,7167004
2021-04-23,RELIANCE,3005.1,3007.41,2988.75,2991.72,4183196
2021-04-26,RELIANCE,2991.72,2991.97,2942.86,2943.32,5647453
2021-04-27,RELIANCE,2943.32,2975.68,2940.57,2973.55,6477753
2021-04-28,RELIANCE,2973.55,2989.82,2971.38,2987.32,10425577
2021-04-29,RELIANCE,2987.32,2988.71,2937.79,2938.45,4497342
